Date,Major,Advisor
5-2024,Data Science and Engineering,Travis Humble
5-2023,Life Sciences,Bode A. Olukolu
5-2023,Nuclear Engineering,Erik Lukosi
5-2023,Energy Science and Engineering,Kyle R. Gluesenkamp
5-2023,English,Margaret Lazarus Dean
8-2023,Chemistry,Michael D. Best
8-2023,Nutritional Sciences,Jiangang Chen
8-2023,Counselor Education,Melinda M. Gibbons
5-2023,Mechanical Engineering,Doug Aaron
5-2023,Business Administration,Linda Myers
5-2023,Industrial Engineering,John E. Kobza
5-2023,Nursing,Carole R. Myers
8-2023,Sociology,Harry F. Dahms
8-2023,School Psychology,Christopher S Skinner
5-2023,Business Administration,"Timothy G. Pollock, David Gras"
5-2023,Mathematics,Luis Finotti
5-2023,Comparative and Experimental Medicine,David E. Anderson
8-2023,Higher Education Administration,Sonya D. Hayes
8-2023,Kinesiology,Leslee A. Fisher
8-2023,Energy Science and Engineering,Robert Sacci
8-2023,Natural Resources,Joseph D. Clark
5-2023,Electrical Engineering,Leon M. Tolbert
8-2023,English,Dawn Coleman
8-2023,"Entomology, Plant Pathology and Nematology",Rebecca Trout Fryxell
5-2023,Social Work,Mary L. Held
5-2023,Microbiology,Jeremiah G. Johnson
8-2023,English,Mary Dzon
5-2023,Philosophy,J. Clerk Shaw
8-2023,Biochemistry and Cellular and Molecular Biology,Brad M. Binder
5-2023,Counselor Education,Melinda M. Gibbons
5-2023,"Plant, Soil and Environmental Sciences",John C. Sorochan
5-2023,Physics,Adrian Del Maestro
8-2023,Computer Science,Michael W. Berry
5-2023,Kinesiology and Sport Studies,Steven N. Waller
8-2023,Geography,"Sally P. Horn, Matthew F. Bekker"
5-2023,Industrial Engineering,Andrew Yu
5-2023,Nuclear Engineering,Robert Grzywacz
5-2023,Plant Sciences,Renata L. G. Nave Oakes
5-2023,Nuclear Engineering,Lawrence H. Heilbronn
5-2023,Kinesiology and Sport Studies,Adam Love
5-2023,Philosophy,Georgi J. Gardiner
8-2023,Electrical Engineering,Dan Wilson
5-2023,Nuclear Engineering,Eric Lukosi
5-2023,Industrial Engineering,James Ostrowski
5-2023,Teacher Education,Dr. Susan Groenke
5-2023,Mathematics,Luís R. A. Finotti
8-2023,Electrical Engineering,"Seddik M. Djouadi, Kevin Tomsovic"
5-2023,Psychology,Daniela Corbetta
5-2023,Life Sciences,Mitchel J. Doktycz
5-2023,Business Administration,"Theodore P. Stank, Lance W. Saunders"
8-2023,Sociology,Paul K. Gellert
8-2023,Mathematics,Morwen B. Thistlethwaite
8-2023,Materials Science and Engineering,Bin Hu
8-2023,Biosystems Engineering,Nourredine Abdoulmoumine
5-2023,Sociology,Shaneda Destine
5-2023,Mathematics,Christopher Strickland
5-2023,Business Administration,Lauren M. Cunningham
5-2023,Chemistry,Sheng Dai
8-2023,Energy Science and Engineering,Kevin Tomsovic
5-2023,Energy Science and Engineering,Leon Tolbert
5-2023,Nuclear Engineering,Richard T. Wood
8-2023,School Psychology,Christopher H. Skinner
8-2023,"Retail, Hospitality, and Tourism Management",Michelle L Childs
8-2023,Chemistry,Johnathan N. Brantley
5-2023,Nuclear Engineering,Eric D. Lukosi
8-2023,Counselor Education,Joel F. Diambra
8-2023,Microbiology,Elizabeth Fozo
8-2023,Animal Science,Oudessa K. Dego
5-2023,History,Vejas G. Liulevicius
8-2023,Nuclear Engineering,Nicholas R. Brown
8-2023,Educational Psychology and Research,Qi Sun
5-2023,Geology,Bradley Thomson
5-2023,Natural Resources,Sharon R. Jean-Philippe
5-2023,Mathematics,Dr. Xia Chen
5-2023,Geography,Kelsey N. Ellis
8-2023,Mathematics,Luis RA Finotti
5-2023,Civil Engineering,Lee D. Han
5-2023,Industrial Engineering,Mingzhou Jin
5-2023,Chemistry,Sheng Dai
8-2023,"Plant, Soil and Environmental Sciences",Carl Sams
8-2023,Counselor Education,Casey Barrio Minton
5-2023,Mathematics,Marie Jameson
5-2023,"Plant, Soil and Environmental Sciences",Tarek Hewezi
5-2023,Physics,Alfredo Galindo-Uribarri
8-2023,Education,Pamella A Angelle
8-2023,Civil Engineering,Hongyu Zhou
8-2023,School Psychology,Robert L. Williams
8-2023,Data Science and Engineering,Moetasim Ashfaq
8-2023,Social Work,Stacia M. West
8-2023,Biosystems Engineering,Nourredine Abdoulmoumine
8-2023,History,Christopher P. Magra
5-2023,Entomology and Plant Pathology,Margaret E. Staton
5-2023,English,Iliana Rocha
8-2023,Electrical Engineering,Yilu Liu
5-2023,Kinesiology and Sport Studies,Steven N. Waller
8-2023,Psychology,Todd M. Moore
8-2023,Animal Science,Brynn H. Voy
8-2023,Child and Family Studies,Megan L. Haselschwerdt
5-2023,Business Administration,Eric Kelley
5-2023,Physics,Yuri Efremenko
